Date,Status
2020-02-16,Fully open
2020-02-17,Fully open
2020-02-18,Fully open
2020-02-19,Fully open
2020-02-20,Fully open
2020-02-21,Fully open
2020-02-22,Fully open
2020-02-23,Fully open
2020-02-24,Fully open
2020-02-25,Fully open
2020-02-26,Fully open
2020-02-27,Fully open
2020-02-28,Fully open
2020-02-29,Fully open
2020-03-01,Fully open
2020-03-02,Fully open
2020-03-03,Fully open
2020-03-04,Fully open
2020-03-05,Fully open
2020-03-06,Fully open
2020-03-07,Fully open
2020-03-08,Fully open
2020-03-09,Fully open
2020-03-10,Fully open
2020-03-11,Fully open
2020-03-12,Fully open
2020-03-13,Closed due to COVID-19
2020-03-14,Closed due to COVID-19
2020-03-15,Closed due to COVID-19
2020-03-16,Closed due to COVID-19
2020-03-17,Closed due to COVID-19
2020-03-18,Closed due to COVID-19
2020-03-19,Closed due to COVID-19
2020-03-20,Closed due to COVID-19
2020-03-21,Closed due to COVID-19
2020-03-22,Closed due to COVID-19
2020-03-23,Closed due to COVID-19
2020-03-24,Closed due to COVID-19
2020-03-25,Closed due to COVID-19
2020-03-26,Closed due to COVID-19
2020-03-27,Closed due to COVID-19
2020-03-28,Closed due to COVID-19
2020-03-29,Closed due to COVID-19
2020-03-30,Closed due to COVID-19
2020-03-31,Closed due to COVID-19
2020-04-01,Closed due to COVID-19
2020-04-02,Closed due to COVID-19
2020-04-03,Closed due to COVID-19
2020-04-04,Closed due to COVID-19
2020-04-05,Closed due to COVID-19
2020-04-06,Closed due to COVID-19
2020-04-07,Closed due to COVID-19
2020-04-08,Closed due to COVID-19
2020-04-09,Closed due to COVID-19
2020-04-10,Closed due to COVID-19
2020-04-11,Closed due to COVID-19
2020-04-12,Closed due to COVID-19
2020-04-13,Closed due to COVID-19
2020-04-14,Closed due to COVID-19
2020-04-15,Closed due to COVID-19
2020-04-16,Closed due to COVID-19
2020-04-17,Closed due to COVID-19
2020-04-18,Closed due to COVID-19
2020-04-19,Closed due to COVID-19
2020-04-20,Closed due to COVID-19
2020-04-21,Closed due to COVID-19
2020-04-22,Closed due to COVID-19
2020-04-23,Closed due to COVID-19
2020-04-24,Closed due to COVID-19
2020-04-25,Closed due to COVID-19
2020-04-26,Closed due to COVID-19
2020-04-27,Closed due to COVID-19
2020-04-28,Closed due to COVID-19
2020-04-29,Closed due to COVID-19
2020-04-30,Closed due to COVID-19
2020-05-01,Closed due to COVID-19
2020-05-02,Closed due to COVID-19
2020-05-03,Closed due to COVID-19
2020-05-04,Closed due to COVID-19
2020-05-05,Closed due to COVID-19
2020-05-06,Closed due to COVID-19
2020-05-07,Closed due to COVID-19
2020-05-08,Closed due to COVID-19
2020-05-09,Closed due to COVID-19
2020-05-10,Closed due to COVID-19
2020-05-11,Closed due to COVID-19
2020-05-12,Closed due to COVID-19
2020-05-13,Closed due to COVID-19
2020-05-14,Closed due to COVID-19
2020-05-15,Closed due to COVID-19
2020-05-16,Closed due to COVID-19
2020-05-17,Closed due to COVID-19
2020-05-18,Closed due to COVID-19
2020-05-19,Closed due to COVID-19
2020-05-20,Closed due to COVID-19
2020-05-21,Closed due to COVID-19
2020-05-22,Closed due to COVID-19
2020-05-23,Closed due to COVID-19
2020-05-24,Closed due to COVID-19
2020-05-25,Closed due to COVID-19
2020-05-26,Closed due to COVID-19
2020-05-27,Closed due to COVID-19
2020-05-28,Closed due to COVID-19
2020-05-29,Closed due to COVID-19
2020-05-30,Closed due to COVID-19
2020-05-31,Closed due to COVID-19
2020-06-01,Closed due to COVID-19
2020-06-02,Closed due to COVID-19
2020-06-03,Closed due to COVID-19
2020-06-04,Closed due to COVID-19
2020-06-05,Closed due to COVID-19
2020-06-06,Closed due to COVID-19
2020-06-07,Closed due to COVID-19
2020-06-08,Closed due to COVID-19
2020-06-09,Closed due to COVID-19
2020-06-10,Closed due to COVID-19
2020-06-11,Closed due to COVID-19
2020-06-12,Closed due to COVID-19
2020-06-13,Closed due to COVID-19
2020-06-14,Closed due to COVID-19
2020-06-15,Closed due to COVID-19
2020-06-16,Closed due to COVID-19
2020-06-17,Closed due to COVID-19
2020-06-18,Closed due to COVID-19
2020-06-19,Closed due to COVID-19
2020-06-20,Closed due to COVID-19
2020-06-21,Closed due to COVID-19
2020-06-22,Closed due to COVID-19
2020-06-23,Closed due to COVID-19
2020-06-24,Closed due to COVID-19
2020-06-25,Closed due to COVID-19
2020-06-26,Closed due to COVID-19
2020-06-27,Closed due to COVID-19
2020-06-28,Closed due to COVID-19
2020-06-29,Closed due to COVID-19
2020-06-30,Closed due to COVID-19
2020-07-01,Academic break
2020-07-02,Academic break
2020-07-03,Academic break
2020-07-04,Academic break
2020-07-05,Academic break
2020-07-06,Academic break
2020-07-07,Academic break
2020-07-08,Academic break
2020-07-09,Academic break
2020-07-10,Academic break
2020-07-11,Academic break
2020-07-12,Academic break
2020-07-13,Academic break
2020-07-14,Academic break
2020-07-15,Academic break
2020-07-16,Academic break
2020-07-17,Academic break
