date,accumulated,new
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,2,2.0
2020-03-15,2,0.0
2020-03-16,2,0.0
2020-03-17,2,0.0
2020-03-18,2,0.0
2020-03-19,3,1.0
2020-03-20,5,2.0
2020-03-21,7,2.0
2020-03-22,14,7.0
2020-03-23,18,4.0
2020-03-24,27,9.0
2020-03-25,28,1.0
2020-03-26,34,6.0
2020-03-27,36,2.0
2020-03-28,48,12.0
2020-03-29,58,10.0
2020-03-30,60,2.0
2020-03-31,75,15.0
2020-04-01,93,18.0
2020-04-02,120,27.0
2020-04-03,145,25.0
2020-04-04,172,27.0
2020-04-05,180,8.0
2020-04-06,191,11.0
2020-04-07,191,0.0
2020-04-08,242,51.0
2020-04-09,272,30.0
2020-04-10,297,25.0
2020-04-11,315,18.0
2020-04-12,333,18.0
2020-04-13,355,22.0
2020-04-14,369,14.0
2020-04-15,388,19.0
2020-04-16,403,15.0
2020-04-17,421,18.0
2020-04-18,456,35.0
2020-04-19,474,18.0
2020-04-20,507,33.0
2020-04-21,520,13.0
2020-04-22,537,17.0
2020-04-23,560,23.0
2020-04-24,576,16.0
2020-04-25,576,0.0
2020-04-26,576,0.0
2020-04-27,663,87.0
2020-04-28,871,208.0
2020-04-29,883,12.0
2020-04-30,900,17.0
2020-05-01,1063,163.0
2020-05-02,1371,308.0
2020-05-03,1564,193.0
2020-05-04,1569,5.0
2020-05-05,1569,0.0
2020-05-06,1618,49.0
2020-05-07,1654,36.0
2020-05-08,1704,50.0
2020-05-09,1717,13.0
2020-05-10,2127,410.0
2020-05-11,2145,18.0
2020-05-12,2327,182.0
2020-05-13,2334,7.0
2020-05-14,2338,4.0
2020-05-15,2594,256.0
2020-05-16,2688,94.0
2020-05-17,2736,48.0
2020-05-18,2799,63.0
2020-05-19,2839,40.0
2020-05-20,2888,49.0
2020-05-21,2939,51.0
2020-05-22,3056,117.0
2020-05-23,3096,40.0
2020-05-24,3108,12.0
2020-05-25,3203,95.0
2020-05-26,3203,0.0
2020-05-27,3275,72.0
2020-05-28,3313,38.0
2020-05-29,3334,21.0
2020-05-30,3334,0.0
2020-05-31,3358,24.0
2020-06-01,3358,0.0
2020-06-02,3438,80.0
2020-06-03,3486,48.0
2020-06-04,3486,0.0
2020-06-05,3534,48.0
2020-06-06,3608,74.0
2020-06-07,3621,13.0
2020-06-08,3642,21.0
2020-06-09,3690,48.0
