provincia,poblacion,acumulados_provincia,nuevas,created_at,acumulados
Azuay,881394,0,0,2020-03-13,0
Bolívar,209933,0,0,2020-03-13,0
Carchi,186869,0,0,2020-03-13,0
Cañar,281396,0,0,2020-03-13,0
Chimborazo,524004,0,0,2020-03-13,0
Cotopaxi,488716,0,0,2020-03-13,0
El Oro,715751,0,0,2020-03-13,0
Esmeraldas,591083,0,0,2020-03-13,0
Galápagos,33042,0,0,2020-03-13,0
Guayas,4387434,7,7,2020-03-13,7
Imbabura,476257,0,0,2020-03-13,7
Loja,521154,0,0,2020-03-13,7
Los Ríos,921763,11,11,2020-03-13,18
Manabí,1562079,0,0,2020-03-13,18
Morona Santiago,196535,0,0,2020-03-13,18
Napo,133705,0,0,2020-03-13,18
Orellana,161338,0,0,2020-03-13,18
Pastaza,114202,0,0,2020-03-13,18
Pichincha,3228233,4,4,2020-03-13,22
Santa Elena,401178,0,0,2020-03-13,22
Sto. Domingo Tsáchilas,511151,0,0,2020-03-13,22
Sucumbíos,230503,1,1,2020-03-13,23
Tungurahua,590600,0,0,2020-03-13,23
Zamora Chinchipe,120416,0,0,2020-03-13,23
Azuay,881394,1,1,2020-03-14,24
Bolívar,209933,0,0,2020-03-14,24
Carchi,186869,0,0,2020-03-14,24
Cañar,281396,0,0,2020-03-14,24
Chimborazo,524004,0,0,2020-03-14,24
Cotopaxi,488716,0,0,2020-03-14,24
El Oro,715751,0,0,2020-03-14,24
Esmeraldas,591083,0,0,2020-03-14,24
Galápagos,33042,0,0,2020-03-14,24
Guayas,4387434,11,4,2020-03-14,28
Imbabura,476257,0,0,2020-03-14,28
Loja,521154,0,0,2020-03-14,28
Los Ríos,921763,11,0,2020-03-14,28
Manabí,1562079,0,0,2020-03-14,28
Morona Santiago,196535,0,0,2020-03-14,28
Napo,133705,0,0,2020-03-14,28
Orellana,161338,0,0,2020-03-14,28
Pastaza,114202,0,0,2020-03-14,28
Pichincha,3228233,4,0,2020-03-14,28
Santa Elena,401178,0,0,2020-03-14,28
Sto. Domingo Tsáchilas,511151,0,0,2020-03-14,28
Sucumbíos,230503,1,0,2020-03-14,28
Tungurahua,590600,0,0,2020-03-14,28
Zamora Chinchipe,120416,0,0,2020-03-14,28
Azuay,881394,1,0,2020-03-15,28
Bolívar,209933,0,0,2020-03-15,28
Carchi,186869,0,0,2020-03-15,28
Cañar,281396,0,0,2020-03-15,28
Chimborazo,524004,0,0,2020-03-15,28
Cotopaxi,488716,0,0,2020-03-15,28
