fecha,dosis_total,primera_dosis,segunda_dosis,refuerzo
2021-01-20,0,0,0,0
2021-01-21,0,0,0,0
2021-01-22,108,108,0,0
2021-01-27,2982,2982,0,0
2021-02-04,6228,6228,0,0
2021-02-17,8190,6228,1962,0
2021-02-24,24492,20784,3708,0
2021-03-01,42114,35886,6228,0
2021-03-04,59316,53088,6228,0
2021-03-05,71148,64920,6228,0
2021-03-08,74472,68244,6228,0
2021-03-09,75258,69030,6228,0
2021-03-11,95915,89687,6228,0
2021-03-12,123176,116948,6228,0
2021-03-13,139359,119222,20137,0
2021-03-15,141191,121054,20137,0
2021-03-21,178970,140765,38205,0
2021-03-23,182261,143614,38647,0
2021-03-24,191179,152526,38653,0
2021-03-26,230770,172413,58357,0
2021-03-27,235000,174642,60358,0
2021-03-29,244866,182329,62537,0
2021-04-01,283106,204902,78204,0
2021-04-04,301069,211720,89349,0
2021-04-05,335093,228504,106589,0
2021-04-06,356783,244159,112624,0
2021-04-08,363255,250631,112624,0
2021-04-14,480962,338180,142782,0
2021-04-15,485132,338180,146952,0
2021-04-16,514151,354019,160132,0
2021-04-17,545132,377199,167933,0
2021-04-18,554369,384093,170276,0
2021-04-19,577711,401871,175840,0
2021-04-20,601229,421937,179292,0
2021-04-21,643702,457403,186299,0
2021-04-22,675510,486524,188986,0
2021-04-23,711204,514854,196350,0
2021-04-24,732717,532367,200350,0
2021-04-25,743937,541420,202517,0
2021-04-26,765489,555265,210224,0
2021-04-27,816175,595699,220476,0
2021-04-28,861393,633421,227972,0
2021-04-29,920865,691000,229865,0
2021-04-30,987452,748021,239431,0
2021-05-01,1036794,791822,244972,0
2021-05-02,1067472,821960,245512,0
2021-05-04,1141262,889218,252044,0
2021-05-05,1182085,924539,257546,0
2021-05-06,1215676,953238,262438,0
2021-05-07,1245822,981620,264202,0
2021-05-09,1289962,1024121,265841,0
2021-05-11,1339196,1066590,272606,0
2021-05-12,1355698,1076427,279271,0
2021-05-13,1405898,1101897,304001,0
2021-05-14,1456293,1138269,318024,0
2021-05-15,1485936,1152298,333638,0
2021-05-16,1524724,1179062,345662,0
2021-05-17,1560453,1203517,356936,0
2021-05-18,1583399,1203778,379621,0
2021-05-19,1627070,1225735,401335,0
2021-05-20,1727805,1299730,428075,0
2021-05-22,1893053,1404426,488627,0
2021-05-23,1946346,1448787,497559,0
2021-05-25,2025156,1509795,515361,0
2021-05-27,2110324,1526895,583429,0
2021-05-28,2172656,1538178,634478,0
2021-05-29,2205483,1552480,653003,0
2021-05-30,2225005,1562970,662035,0
2021-06-01,2387698,1622557,765141,0
2021-06-02,2447889,1657029,790860,0
2021-06-03,2529218,1702124,827094,0
2021-06-04,2597836,1744825,853011,0
2021-06-05,2645983,1774025,871958,0
2021-06-06,2665806,1791632,874174,0
2021-06-07,2717072,1825096,891976,0
2021-06-08,2788245,1877548,910697,0
2021-06-13,3081172,2043159,1038013,0
2021-06-15,3133387,2079889,1053498,0
2021-06-19,3558254,2351838,1206416,0
2021-06-20,3580667,2368971,1211696,0
2021-06-21,3658226,2426450,1231776,0
2021-06-22,3725385,2480014,1245371,0
2021-06-23,3797663,2537302,1260361,0
2021-06-24,3879573,2592300,1287273,0
2021-06-25,3944256,2643327,1300929,0
2021-06-26,3991635,2680072,1311563,0
2021-06-27,4024007,2701284,1322723,0
2021-06-28,4091026,2747894,1343132,0
2021-06-29,4152557,2793332,1359225,0
2021-06-30,4222588,2840809,1381779,0
2021-07-01,4301966,2885050,1416916,0
2021-07-02,4345970,2885050,1460920,0
2021-07-03,4451790,2968679,1483111,0
2021-07-04,4517579,3012559,1505020,0
2021-07-05,4647258,3111781,1535477,0
2021-07-06,4794852,3225402,1569450,0
2021-07-07,4958392,3360276,1598116,0
2021-07-08,5142998,3511574,1631424,0
2021-07-09,5358688,3714533,1644155,0
2021-07-10,5619115,3933031,1686084,0
2021-07-11,5786147,4088423,1697724,0
2021-07-13,6383862,4629829,1754033,0
2021-07-14,6890876,5079607,1811269,0
2021-07-15,7281701,5447856,1833845,0
2021-07-16,7591739,5730317,1861422,0
2021-07-17,7882979,6001154,1881825,0
2021-07-18,8178327,6281841,1896486,0
2021-07-19,8467877,6551874,1916003,0
2021-07-20,8707304,6778045,1929259,0
2021-07-21,9055887,7087388,1968499,0
2021-07-22,9295351,7302932,1992419,0
2021-07-23,9510668,7494082,2016586,0
2021-07-24,9677880,7648949,2028931,0
2021-07-25,9880401,7828824,2051577,0
2021-07-26,10051176,7960999,2090177,0
2021-07-27,10295022,8148966,2146056,0
2021-07-28,10584021,8368783,2215238,0
2021-07-29,10929785,8642055,2287730,0
2021-07-30,11221939,8884880,2337059,0
2021-07-31,11419806,9047885,2371921,0
2021-08-02,11732461,9269733,2462728,0
2021-08-03,11917800,9358610,2559190,0
2021-08-04,12138621,9446897,2691724,0
2021-08-05,12384109,9524743,2859366,0
2021-08-06,12649538,9585665,3063873,0
2021-08-07,12883619,9637618,3246001,0
2021-08-08,13351482,9929240,3422242,0
2021-08-11,14097131,9944522,4152609,0
2021-08-12,14363025,9945975,4417050,0
2021-08-13,14578314,9955383,4622931,0
2021-08-14,14684326,9956358,4727968,0
2021-08-15,14742430,9956777,4785653,0
2021-08-17,15516237,9958643,5557594,0
2021-08-18,15879437,9960012,5919425,0
2021-08-19,16235098,9961744,6273354,0
2021-08-20,16500237,9963105,6537132,0
2021-08-21,16693126,9963626,6729500,0
2021-08-22,16835733,9964227,6871506,0
2021-08-23,17067706,9970890,7096816,0
2021-08-24,17284842,9973150,7311692,0
2021-08-25,17513775,9979810,7533965,0
2021-08-26,17750269,9982080,7768189,0
2021-08-27,18003827,9984903,8018924,0
2021-08-28,18195864,9987247,8208617,0
2021-08-29,19260796,10699102,8561694,0
2021-08-31,19512448,10699102,8813346,0
2021-09-01,19704153,10699102,9005051,0
2021-09-04,19962941,10699102,9263839,0
2021-09-05,20022702,10699102,9323600,0
2021-09-06,20103182,10699102,9404080,0
