,provincia,poblacion,total,nuevas,probables,lat,lng,created_at
0,Azuay,881394,0,0,0,-2.897414,-79.004481,26/03/2020
1,Bolívar,209933,0,0,0,-1.605556,-79.003056,26/03/2020
2,Carchi,186869,0,0,0,0.81218,-77.71633,26/03/2020
3,Cañar,281396,0,0,0,-2.733333,-78.833333,26/03/2020
4,Chimborazo,524004,0,0,0,-1.674347,-78.648294,26/03/2020
5,Cotopaxi,488716,1,1,0,-0.933333,-78.616667,26/03/2020
6,El Oro,715751,3,3,0,-3.266667,-79.966667,26/03/2020
7,Esmeraldas,591083,0,0,0,1.05,-79.2,26/03/2020
8,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,26/03/2020
9,Guayas,4387434,21,21,0,-2.183333,-79.883333,26/03/2020
10,Imbabura,476257,1,1,0,0.362678,-78.130667,26/03/2020
11,Loja,521154,0,0,0,-3.983333,-79.2,26/03/2020
12,Los Ríos,921763,3,3,0,-1.8,-79.533333,26/03/2020
13,Manabí,1562079,0,0,0,-1.056181,-80.455217,26/03/2020
14,Morona Santiago,196535,0,0,0,-2.3,-78.116667,26/03/2020
15,Napo,133705,0,0,0,-0.989,-77.8159,26/03/2020
16,Orellana,161338,0,0,0,-0.466667,-76.966667,26/03/2020
17,Pastaza,114202,0,0,0,-1.066667,-78.001111,26/03/2020
18,Pichincha,3228233,3,3,0,-0.218611,-78.509722,26/03/2020
19,Santa Elena,401178,2,2,0,-2.2267,-80.8583,26/03/2020
20,Sto. Domingo Tsáchilas,511151,0,0,0,-0.254167,-79.171944,26/03/2020
21,Sucumbíos,230503,0,0,0,0.084722,-76.882778,26/03/2020
22,Tungurahua,590600,0,0,0,-1.241667,-78.619722,26/03/2020
23,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,26/03/2020
24,Azuay,881394,0,0,0,-2.897414,-79.004481,27/03/2020
25,Bolívar,209933,0,0,0,-1.605556,-79.003056,27/03/2020
26,Carchi,186869,0,0,0,0.81218,-77.71633,27/03/2020
27,Cañar,281396,0,0,0,-2.733333,-78.833333,27/03/2020
28,Chimborazo,524004,0,0,0,-1.674347,-78.648294,27/03/2020
29,Cotopaxi,488716,1,0,0,-0.933333,-78.616667,27/03/2020
30,El Oro,715751,3,0,0,-3.266667,-79.966667,27/03/2020
31,Esmeraldas,591083,0,0,0,1.05,-79.2,27/03/2020
32,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,27/03/2020
33,Guayas,4387434,25,4,0,-2.183333,-79.883333,27/03/2020
34,Imbabura,476257,1,0,0,0.362678,-78.130667,27/03/2020
35,Loja,521154,0,0,0,-3.983333,-79.2,27/03/2020
36,Los Ríos,921763,3,0,0,-1.8,-79.533333,27/03/2020
37,Manabí,1562079,1,1,0,-1.056181,-80.455217,27/03/2020
38,Morona Santiago,196535,0,0,0,-2.3,-78.116667,27/03/2020
39,Napo,133705,0,0,0,-0.989,-77.8159,27/03/2020
40,Orellana,161338,0,0,0,-0.466667,-76.966667,27/03/2020
41,Pastaza,114202,0,0,0,-1.066667,-78.001111,27/03/2020
42,Pichincha,3228233,4,1,0,-0.218611,-78.509722,27/03/2020
43,Santa Elena,401178,2,0,0,-2.2267,-80.8583,27/03/2020
44,Sto. Domingo Tsáchilas,511151,0,0,0,-0.254167,-79.171944,27/03/2020
45,Sucumbíos,230503,1,1,0,0.084722,-76.882778,27/03/2020
46,Tungurahua,590600,0,0,0,-1.241667,-78.619722,27/03/2020
47,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,27/03/2020
48,Azuay,881394,0,0,0,-2.897414,-79.004481,28/03/2020
49,Bolívar,209933,0,0,0,-1.605556,-79.003056,28/03/2020
50,Carchi,186869,0,0,0,0.81218,-77.71633,28/03/2020
51,Cañar,281396,0,0,0,-2.733333,-78.833333,28/03/2020
52,Chimborazo,524004,1,1,0,-1.674347,-78.648294,28/03/2020
53,Cotopaxi,488716,0,-1,0,-0.933333,-78.616667,28/03/2020
54,El Oro,715751,3,0,0,-3.266667,-79.966667,28/03/2020
55,Esmeraldas,591083,0,0,0,1.05,-79.2,28/03/2020
56,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,28/03/2020
57,Guayas,4387434,30,5,0,-2.183333,-79.883333,28/03/2020
58,Imbabura,476257,1,0,0,0.362678,-78.130667,28/03/2020
59,Loja,521154,0,0,0,-3.983333,-79.2,28/03/2020
60,Los Ríos,921763,5,2,0,-1.8,-79.533333,28/03/2020
61,Manabí,1562079,1,0,0,-1.056181,-80.455217,28/03/2020
62,Morona Santiago,196535,0,0,0,-2.3,-78.116667,28/03/2020
63,Napo,133705,0,0,0,-0.989,-77.8159,28/03/2020
64,Orellana,161338,0,0,0,-0.466667,-76.966667,28/03/2020
65,Pastaza,114202,0,0,0,-1.066667,-78.001111,28/03/2020
66,Pichincha,3228233,4,0,0,-0.218611,-78.509722,28/03/2020
67,Santa Elena,401178,2,0,0,-2.2267,-80.8583,28/03/2020
68,Sto. Domingo Tsáchilas,511151,0,0,0,-0.254167,-79.171944,28/03/2020
69,Sucumbíos,230503,1,0,0,0.084722,-76.882778,28/03/2020
70,Tungurahua,590600,0,0,0,-1.241667,-78.619722,28/03/2020
71,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,28/03/2020
72,Azuay,881394,1,1,0,-2.897414,-79.004481,29/03/2020
73,Bolívar,209933,0,0,0,-1.605556,-79.003056,29/03/2020
74,Carchi,186869,0,0,0,0.81218,-77.71633,29/03/2020
75,Cañar,281396,1,1,0,-2.733333,-78.833333,29/03/2020
76,Chimborazo,524004,0,-1,0,-1.674347,-78.648294,29/03/2020
77,Cotopaxi,488716,1,1,0,-0.933333,-78.616667,29/03/2020
78,El Oro,715751,4,1,0,-3.266667,-79.966667,29/03/2020
79,Esmeraldas,591083,0,0,0,1.05,-79.2,29/03/2020
80,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,29/03/2020
81,Guayas,4387434,37,7,0,-2.183333,-79.883333,29/03/2020
82,Imbabura,476257,1,0,0,0.362678,-78.130667,29/03/2020
83,Loja,521154,0,0,0,-3.983333,-79.2,29/03/2020
84,Los Ríos,921763,5,0,0,-1.8,-79.533333,29/03/2020
85,Manabí,1562079,1,0,0,-1.056181,-80.455217,29/03/2020
86,Morona Santiago,196535,0,0,0,-2.3,-78.116667,29/03/2020
87,Napo,133705,0,0,0,-0.989,-77.8159,29/03/2020
88,Orellana,161338,0,0,0,-0.466667,-76.966667,29/03/2020
89,Pastaza,114202,0,0,0,-1.066667,-78.001111,29/03/2020
90,Pichincha,3228233,4,0,0,-0.218611,-78.509722,29/03/2020
91,Santa Elena,401178,2,0,0,-2.2267,-80.8583,29/03/2020
92,Sto. Domingo Tsáchilas,511151,0,0,0,-0.254167,-79.171944,29/03/2020
93,Sucumbíos,230503,1,0,0,0.084722,-76.882778,29/03/2020
94,Tungurahua,590600,0,0,0,-1.241667,-78.619722,29/03/2020
95,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,29/03/2020
96,Azuay,881394,1,0,0,-2.897414,-79.004481,30/03/2020
97,Bolívar,209933,0,0,0,-1.605556,-79.003056,30/03/2020
98,Carchi,186869,0,0,0,0.81218,-77.71633,30/03/2020
99,Cañar,281396,1,0,0,-2.733333,-78.833333,30/03/2020
100,Chimborazo,524004,0,0,0,-1.674347,-78.648294,30/03/2020
101,Cotopaxi,488716,1,0,0,-0.933333,-78.616667,30/03/2020
102,El Oro,715751,4,0,0,-3.266667,-79.966667,30/03/2020
103,Esmeraldas,591083,0,0,0,1.05,-79.2,30/03/2020
104,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,30/03/2020
105,Guayas,4387434,40,3,0,-2.183333,-79.883333,30/03/2020
106,Imbabura,476257,1,0,0,0.362678,-78.130667,30/03/2020
107,Loja,521154,0,0,0,-3.983333,-79.2,30/03/2020
108,Los Ríos,921763,5,0,0,-1.8,-79.533333,30/03/2020
109,Manabí,1562079,1,0,0,-1.056181,-80.455217,30/03/2020
110,Morona Santiago,196535,0,0,0,-2.3,-78.116667,30/03/2020
111,Napo,133705,0,0,0,-0.989,-77.8159,30/03/2020
112,Orellana,161338,0,0,0,-0.466667,-76.966667,30/03/2020
113,Pastaza,114202,0,0,0,-1.066667,-78.001111,30/03/2020
114,Pichincha,3228233,5,1,0,-0.218611,-78.509722,30/03/2020
115,Santa Elena,401178,2,0,0,-2.2267,-80.8583,30/03/2020
116,Sto. Domingo Tsáchilas,511151,0,0,0,-0.254167,-79.171944,30/03/2020
117,Sucumbíos,230503,1,0,0,0.084722,-76.882778,30/03/2020
118,Tungurahua,590600,0,0,0,-1.241667,-78.619722,30/03/2020
119,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,30/03/2020
120,Azuay,881394,2,1,0,-2.897414,-79.004481,31/03/2020
121,Bolívar,209933,0,0,0,-1.605556,-79.003056,31/03/2020
122,Carchi,186869,0,0,0,0.81218,-77.71633,31/03/2020
123,Cañar,281396,2,1,0,-2.733333,-78.833333,31/03/2020
124,Chimborazo,524004,0,0,0,-1.674347,-78.648294,31/03/2020
125,Cotopaxi,488716,1,0,0,-0.933333,-78.616667,31/03/2020
126,El Oro,715751,4,0,0,-3.266667,-79.966667,31/03/2020
127,Esmeraldas,591083,0,0,0,1.05,-79.2,31/03/2020
128,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,31/03/2020
129,Guayas,4387434,52,12,0,-2.183333,-79.883333,31/03/2020
130,Imbabura,476257,1,0,0,0.362678,-78.130667,31/03/2020
131,Loja,521154,0,0,0,-3.983333,-79.2,31/03/2020
132,Los Ríos,921763,6,1,0,-1.8,-79.533333,31/03/2020
133,Manabí,1562079,1,0,0,-1.056181,-80.455217,31/03/2020
134,Morona Santiago,196535,0,0,0,-2.3,-78.116667,31/03/2020
135,Napo,133705,0,0,0,-0.989,-77.8159,31/03/2020
136,Orellana,161338,0,0,0,-0.466667,-76.966667,31/03/2020
137,Pastaza,114202,0,0,0,-1.066667,-78.001111,31/03/2020
138,Pichincha,3228233,5,0,0,-0.218611,-78.509722,31/03/2020
139,Santa Elena,401178,4,2,0,-2.2267,-80.8583,31/03/2020
140,Sto. Domingo Tsáchilas,511151,0,0,0,-0.254167,-79.171944,31/03/2020
141,Sucumbíos,230503,1,0,0,0.084722,-76.882778,31/03/2020
142,Tungurahua,590600,0,0,0,-1.241667,-78.619722,31/03/2020
143,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,31/03/2020
144,Azuay,881394,3,1,0,-2.897414,-79.004481,01/04/2020
145,Bolívar,209933,0,0,0,-1.605556,-79.003056,01/04/2020
146,Carchi,186869,0,0,0,0.81218,-77.71633,01/04/2020
147,Cañar,281396,2,0,0,-2.733333,-78.833333,01/04/2020
148,Chimborazo,524004,0,0,0,-1.674347,-78.648294,01/04/2020
149,Cotopaxi,488716,1,0,0,-0.933333,-78.616667,01/04/2020
150,El Oro,715751,9,5,0,-3.266667,-79.966667,01/04/2020
151,Esmeraldas,591083,0,0,0,1.05,-79.2,01/04/2020
152,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,01/04/2020
153,Guayas,4387434,63,11,0,-2.183333,-79.883333,01/04/2020
154,Imbabura,476257,1,0,0,0.362678,-78.130667,01/04/2020
155,Loja,521154,0,0,0,-3.983333,-79.2,01/04/2020
156,Los Ríos,921763,6,0,0,-1.8,-79.533333,01/04/2020
157,Manabí,1562079,2,1,0,-1.056181,-80.455217,01/04/2020
158,Morona Santiago,196535,0,0,0,-2.3,-78.116667,01/04/2020
159,Napo,133705,0,0,0,-0.989,-77.8159,01/04/2020
160,Orellana,161338,0,0,0,-0.466667,-76.966667,01/04/2020
161,Pastaza,114202,0,0,0,-1.066667,-78.001111,01/04/2020
162,Pichincha,3228233,5,0,0,-0.218611,-78.509722,01/04/2020
163,Santa Elena,401178,4,0,0,-2.2267,-80.8583,01/04/2020
164,Sto. Domingo Tsáchilas,511151,0,0,0,-0.254167,-79.171944,01/04/2020
165,Sucumbíos,230503,1,0,0,0.084722,-76.882778,01/04/2020
166,Tungurahua,590600,1,1,0,-1.241667,-78.619722,01/04/2020
167,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,01/04/2020
168,Azuay,881394,4,1,0,-2.897414,-79.004481,02/04/2020
169,Bolívar,209933,1,1,0,-1.605556,-79.003056,02/04/2020
170,Carchi,186869,0,0,0,0.81218,-77.71633,02/04/2020
171,Cañar,281396,2,0,0,-2.733333,-78.833333,02/04/2020
172,Chimborazo,524004,0,0,0,-1.674347,-78.648294,02/04/2020
173,Cotopaxi,488716,1,0,0,-0.933333,-78.616667,02/04/2020
174,El Oro,715751,10,1,0,-3.266667,-79.966667,02/04/2020
175,Esmeraldas,591083,0,0,0,1.05,-79.2,02/04/2020
176,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,02/04/2020
177,Guayas,4387434,82,19,0,-2.183333,-79.883333,02/04/2020
178,Imbabura,476257,1,0,0,0.362678,-78.130667,02/04/2020
179,Loja,521154,0,0,0,-3.983333,-79.2,02/04/2020
180,Los Ríos,921763,6,0,0,-1.8,-79.533333,02/04/2020
181,Manabí,1562079,2,0,0,-1.056181,-80.455217,02/04/2020
182,Morona Santiago,196535,0,0,0,-2.3,-78.116667,02/04/2020
183,Napo,133705,0,0,0,-0.989,-77.8159,02/04/2020
184,Orellana,161338,0,0,0,-0.466667,-76.966667,02/04/2020
185,Pastaza,114202,0,0,0,-1.066667,-78.001111,02/04/2020
186,Pichincha,3228233,5,0,0,-0.218611,-78.509722,02/04/2020
187,Santa Elena,401178,4,0,0,-2.2267,-80.8583,02/04/2020
188,Sto. Domingo Tsáchilas,511151,0,0,0,-0.254167,-79.171944,02/04/2020
189,Sucumbíos,230503,1,0,0,0.084722,-76.882778,02/04/2020
190,Tungurahua,590600,1,0,0,-1.241667,-78.619722,02/04/2020
191,Zamora Chinchipe,120416,0,0,0,-4.12,-78.8,02/04/2020
192,Azuay,881394,5,1,0,-2.897414,-79.004481,03/04/2020
193,Bolívar,209933,1,0,0,-1.605556,-79.003056,03/04/2020
194,Carchi,186869,0,0,0,0.81218,-77.71633,03/04/2020
195,Cañar,281396,2,0,0,-2.733333,-78.833333,03/04/2020
196,Chimborazo,524004,1,1,0,-1.674347,-78.648294,03/04/2020
197,Cotopaxi,488716,1,0,0,-0.933333,-78.616667,03/04/2020
198,El Oro,715751,10,0,0,-3.266667,-79.966667,03/04/2020
199,Esmeraldas,591083,0,0,0,1.05,-79.2,03/04/2020
200,Galápagos,33042,0,0,0,-0.7999999999999999,-89.4,03/04/2020
201,Guayas,4387434,102,20,0,-2.183333,-79.883333,03/04/2020
202,Imbabura,476257,1,0,0,0.362678,-78.130667,03/04/2020
203,Loja,521154,0,0,0,-3.983333,-79.2,03/04/2020
204,Los Ríos,921763,9,3,0,-1.8,-79.533333,03/04/2020
205,Manabí,1562079,2,0,0,-1.056181,-80.455217,03/04/2020
