,fecha,dosis_total,primera_dosis,segunda_dosis,refuerzo
0,20/01/2021,0,0,0,0
1,21/01/2021,0,0,0,0
2,22/01/2021,108,108,0,0
3,27/01/2021,2982,2982,0,0
4,04/02/2021,6228,6228,0,0
5,17/02/2021,8190,6228,1962,0
6,24/02/2021,24492,20784,3708,0
7,01/03/2021,42114,35886,6228,0
8,04/03/2021,59316,53088,6228,0
9,05/03/2021,71148,64920,6228,0
10,08/03/2021,74472,68244,6228,0
11,09/03/2021,75258,69030,6228,0
12,11/03/2021,95915,89687,6228,0
13,12/03/2021,123176,116948,6228,0
14,13/03/2021,139359,119222,20137,0
15,15/03/2021,141191,121054,20137,0
16,21/03/2021,178970,140765,38205,0
17,23/03/2021,182261,143614,38647,0
18,24/03/2021,191179,152526,38653,0
19,26/03/2021,230770,172413,58357,0
20,27/03/2021,235000,174642,60358,0
21,29/03/2021,244866,182329,62537,0
22,01/04/2021,283106,204902,78204,0
23,04/04/2021,301069,211720,89349,0
24,05/04/2021,335093,228504,106589,0
25,06/04/2021,356783,244159,112624,0
26,08/04/2021,363255,250631,112624,0
27,14/04/2021,480962,338180,142782,0
28,15/04/2021,485132,338180,146952,0
29,16/04/2021,514151,354019,160132,0
30,17/04/2021,545132,377199,167933,0
31,18/04/2021,554369,384093,170276,0
32,19/04/2021,577711,401871,175840,0
33,20/04/2021,601229,421937,179292,0
34,21/04/2021,643702,457403,186299,0
35,22/04/2021,675510,486524,188986,0
36,23/04/2021,711204,514854,196350,0
37,24/04/2021,732717,532367,200350,0
38,25/04/2021,743937,541420,202517,0
39,26/04/2021,765489,555265,210224,0
40,27/04/2021,816175,595699,220476,0
41,28/04/2021,861393,633421,227972,0
42,29/04/2021,920865,691000,229865,0
43,30/04/2021,987452,748021,239431,0
44,01/05/2021,1036794,791822,244972,0
45,02/05/2021,1067472,821960,245512,0
46,04/05/2021,1141262,889218,252044,0
47,05/05/2021,1182085,924539,257546,0
48,06/05/2021,1215676,953238,262438,0
49,07/05/2021,1245822,981620,264202,0
50,09/05/2021,1289962,1024121,265841,0
51,11/05/2021,1339196,1066590,272606,0
52,12/05/2021,1355698,1076427,279271,0
53,13/05/2021,1405898,1101897,304001,0
54,14/05/2021,1456293,1138269,318024,0
55,15/05/2021,1485936,1152298,333638,0
56,16/05/2021,1524724,1179062,345662,0
57,17/05/2021,1560453,1203517,356936,0
58,18/05/2021,1583399,1203778,379621,0
59,19/05/2021,1627070,1225735,401335,0
60,20/05/2021,1727805,1299730,428075,0
61,22/05/2021,1893053,1404426,488627,0
62,23/05/2021,1946346,1448787,497559,0
63,25/05/2021,2025156,1509795,515361,0
64,27/05/2021,2110324,1526895,583429,0
65,28/05/2021,2172656,1538178,634478,0
66,29/05/2021,2205483,1552480,653003,0
67,30/05/2021,2225005,1562970,662035,0
68,01/06/2021,2387698,1622557,765141,0
